index,date
30,5/1/2020
11,4/8/2020
28,4/7/2020
14,4/6/2020
33,4/4/2020
17,4/3/2020
18,4/27/2020
25,4/23/2020
24,4/21/2020
27,4/20/2020
9,4/2/2020
1,4/17/2020
36,4/15/2020
21,4/13/2020
23,4/10/2020
15,4/1/2020
31,3/5/2020
4,3/31/2020
10,3/30/2020
34,3/3/2020
22,3/29/2020
29,3/28/2020
12,3/27/2020
7,3/26/2020
0,3/25/2020
13,3/24/2020
6,3/23/2020
32,3/22/2020
20,3/21/2020
2,3/20/2020
16,3/19/2020
3,3/18/2020
5,3/17/2020
8,3/16/2020
19,3/15/2020
26,3/14/2020
35,12/30/2019
